Year,Topic,Count,Custom_Label
2023,5,27,Topic 5
2023,19,25,Topic 19
2023,42,4,Topic 42
2023,37,20,Topic 37
2023,51,11,Topic 51
2023,58,2,Topic 58
2023,0,71,Topic 0
2023,2,74,Topic 2
2023,49,15,Topic 49
2023,13,14,Topic 13
2023,21,9,Topic 21
2023,7,6,Topic 7
2023,9,29,Topic 9
2023,54,6,Topic 54
2023,35,10,Topic 35
2023,39,10,Topic 39
2023,26,14,Topic 26
2023,60,2,Topic 60
2023,33,8,Topic 33
2023,11,10,Topic 11
2023,28,6,Topic 28
2023,24,8,Topic 24
2023,14,14,Topic 14
2023,25,3,Topic 25
2023,48,5,Topic 48
2023,46,8,Topic 46
2023,74,6,Topic 74
2023,80,7,Topic 80
2023,82,5,Topic 82
2023,45,7,Topic 45
2023,52,7,Topic 52
2023,73,3,Topic 73
2023,38,11,Topic 38
2023,76,3,Topic 76
2023,3,33,Topic 3
2023,16,7,Topic 16
2023,1,52,Topic 1
2023,63,4,Topic 63
2023,23,10,Topic 23
2023,44,13,Topic 44
2023,4,33,Topic 4
2023,36,11,Topic 36
2023,70,3,Topic 70
2023,8,12,Topic 8
2023,59,3,Topic 59
2023,78,4,Topic 78
2023,40,9,Topic 40
2023,6,16,Topic 6
2023,32,5,Topic 32
2023,61,6,Topic 61
2023,62,2,Topic 62
2023,69,2,Topic 69
2023,15,6,Topic 15
2023,79,4,Topic 79
2023,50,2,Topic 50
2023,27,11,Topic 27
2023,64,10,Topic 64
2023,18,14,Topic 18
2023,71,3,Topic 71
2023,22,13,Topic 22
2023,29,3,Topic 29
2023,12,14,Topic 12
2023,65,6,Topic 65
2023,41,8,Topic 41
2023,43,3,Topic 43
2023,75,1,Topic 75
2023,34,10,Topic 34
2023,67,6,Topic 67
2023,53,3,Topic 53
2023,10,5,Topic 10
2023,47,2,Topic 47
2023,30,4,Topic 30
2023,68,2,Topic 68
2023,31,8,Topic 31
2023,57,5,Topic 57
2023,17,3,Topic 17
2023,20,5,Topic 20
2023,55,3,Topic 55
2023,72,2,Topic 72
2023,66,3,Topic 66
2023,77,1,Topic 77
2021,72,6,Topic 72
2021,11,12,Topic 11
2021,56,2,Topic 56
2021,68,4,Topic 68
2021,58,6,Topic 58
2021,8,17,Topic 8
2021,15,7,Topic 15
2021,9,16,Topic 9
2021,49,5,Topic 49
2021,1,35,Topic 1
2021,0,47,Topic 0
2021,42,5,Topic 42
2021,38,2,Topic 38
2021,51,4,Topic 51
2021,23,15,Topic 23
2021,64,6,Topic 64
2021,40,7,Topic 40
2021,21,17,Topic 21
2021,14,17,Topic 14
2021,43,10,Topic 43
2021,34,7,Topic 34
2021,6,16,Topic 6
2021,25,8,Topic 25
2021,5,21,Topic 5
2021,35,17,Topic 35
2021,4,23,Topic 4
2021,62,5,Topic 62
2021,17,11,Topic 17
2021,2,52,Topic 2
2021,73,1,Topic 73
2021,3,15,Topic 3
2021,12,8,Topic 12
2021,67,10,Topic 67
2021,13,14,Topic 13
2021,63,9,Topic 63
2021,30,8,Topic 30
2021,16,2,Topic 16
2021,69,3,Topic 69
2021,54,5,Topic 54
2021,78,5,Topic 78
2021,48,4,Topic 48
2021,53,4,Topic 53
2021,59,9,Topic 59
2021,20,9,Topic 20
2021,61,9,Topic 61
2021,33,6,Topic 33
2021,19,6,Topic 19
2021,36,8,Topic 36
2021,71,7,Topic 71
2021,32,5,Topic 32
2021,50,6,Topic 50
2021,44,4,Topic 44
2021,80,2,Topic 80
2021,47,3,Topic 47
2021,79,2,Topic 79
2021,22,17,Topic 22
2021,52,4,Topic 52
2021,57,5,Topic 57
2021,10,9,Topic 10
2021,7,9,Topic 7
2021,65,2,Topic 65
2021,29,12,Topic 29
2021,31,3,Topic 31
2021,18,4,Topic 18
2021,27,10,Topic 27
2021,28,4,Topic 28
2021,74,3,Topic 74
2021,82,6,Topic 82
2021,41,3,Topic 41
2021,39,5,Topic 39
2021,77,7,Topic 77
2021,76,4,Topic 76
2021,26,2,Topic 26
2021,55,2,Topic 55
2021,46,6,Topic 46
2021,60,5,Topic 60
2021,45,3,Topic 45
2021,24,6,Topic 24
2021,37,4,Topic 37
2021,81,1,Topic 81
2021,70,1,Topic 70
2021,75,3,Topic 75
2021,66,2,Topic 66
2024,3,28,Topic 3
2024,72,12,Topic 72
2024,51,5,Topic 51
2024,2,51,Topic 2
2024,30,7,Topic 30
2024,21,6,Topic 21
2024,8,22,Topic 8
2024,61,9,Topic 61
2024,40,13,Topic 40
2024,7,7,Topic 7
2024,82,3,Topic 82
2024,27,11,Topic 27
2024,1,40,Topic 1
2024,13,18,Topic 13
2024,37,12,Topic 37
2024,31,8,Topic 31
2024,41,4,Topic 41
2024,35,6,Topic 35
2024,53,2,Topic 53
2024,52,11,Topic 52
2024,38,9,Topic 38
2024,0,70,Topic 0
2024,5,26,Topic 5
2024,43,4,Topic 43
2024,6,30,Topic 6
2024,45,5,Topic 45
2024,14,14,Topic 14
2024,4,27,Topic 4
2024,49,11,Topic 49
2024,46,6,Topic 46
2024,9,23,Topic 9
2024,55,1,Topic 55
2024,80,6,Topic 80
2024,36,8,Topic 36
2024,20,8,Topic 20
2024,50,6,Topic 50
2024,63,7,Topic 63
2024,79,6,Topic 79
2024,16,13,Topic 16
2024,58,3,Topic 58
2024,65,5,Topic 65
2024,42,3,Topic 42
2024,73,6,Topic 73
2024,70,8,Topic 70
2024,11,12,Topic 11
2024,68,11,Topic 68
2024,22,10,Topic 22
2024,74,4,Topic 74
2024,19,18,Topic 19
2024,62,4,Topic 62
2024,34,9,Topic 34
2024,71,2,Topic 71
2024,33,7,Topic 33
2024,15,11,Topic 15
2024,59,2,Topic 59
2024,76,3,Topic 76
2024,17,10,Topic 17
2024,12,14,Topic 12
2024,18,7,Topic 18
2024,10,16,Topic 10
2024,24,10,Topic 24
2024,54,6,Topic 54
2024,44,5,Topic 44
2024,60,3,Topic 60
2024,39,5,Topic 39
2024,57,3,Topic 57
2024,32,5,Topic 32
2024,26,11,Topic 26
2024,25,4,Topic 25
2024,47,5,Topic 47
2024,66,4,Topic 66
2024,75,3,Topic 75
2024,78,6,Topic 78
2024,67,16,Topic 67
2024,28,8,Topic 28
2024,23,6,Topic 23
2024,64,7,Topic 64
2024,81,2,Topic 81
2024,69,1,Topic 69
2024,48,3,Topic 48
2024,77,1,Topic 77
2022,20,14,Topic 20
2022,2,67,Topic 2
2022,30,9,Topic 30
2022,61,14,Topic 61
2022,34,7,Topic 34
2022,8,27,Topic 8
2022,0,50,Topic 0
2022,21,16,Topic 21
2022,44,16,Topic 44
2022,55,3,Topic 55
2022,27,9,Topic 27
2022,24,9,Topic 24
2022,31,7,Topic 31
2022,47,5,Topic 47
2022,82,7,Topic 82
2022,4,24,Topic 4
2022,28,5,Topic 28
2022,12,10,Topic 12
2022,5,23,Topic 5
2022,6,26,Topic 6
2022,36,14,Topic 36
2022,15,9,Topic 15
2022,19,11,Topic 19
2022,14,14,Topic 14
2022,51,8,Topic 51
2022,33,10,Topic 33
2022,59,3,Topic 59
2022,43,9,Topic 43
2022,1,29,Topic 1
2022,37,9,Topic 37
2022,16,6,Topic 16
2022,52,8,Topic 52
2022,3,21,Topic 3
2022,76,2,Topic 76
2022,9,20,Topic 9
2022,60,9,Topic 60
2022,26,9,Topic 26
2022,54,3,Topic 54
2022,71,6,Topic 71
2022,46,11,Topic 46
2022,42,4,Topic 42
2022,25,5,Topic 25
2022,50,4,Topic 50
2022,17,9,Topic 17
2022,53,1,Topic 53
2022,70,4,Topic 70
2022,68,4,Topic 68
2022,11,6,Topic 11
2022,80,4,Topic 80
2022,10,10,Topic 10
2022,32,7,Topic 32
2022,73,2,Topic 73
2022,18,4,Topic 18
2022,48,3,Topic 48
2022,78,4,Topic 78
2022,45,3,Topic 45
2022,63,1,Topic 63
2022,62,4,Topic 62
2022,13,7,Topic 13
2022,64,4,Topic 64
2022,57,5,Topic 57
2022,40,9,Topic 40
2022,29,9,Topic 29
2022,56,1,Topic 56
2022,23,7,Topic 23
2022,7,7,Topic 7
2022,69,1,Topic 69
2022,77,3,Topic 77
2022,41,3,Topic 41
2022,35,9,Topic 35
2022,22,8,Topic 22
2022,65,4,Topic 65
2022,49,4,Topic 49
2022,74,4,Topic 74
2022,38,10,Topic 38
2022,66,3,Topic 66
2022,67,2,Topic 67
2022,72,4,Topic 72
2022,39,1,Topic 39
2020,11,19,Topic 11
2020,51,5,Topic 51
2020,8,19,Topic 8
2020,5,18,Topic 5
2020,46,5,Topic 46
2020,0,46,Topic 0
2020,19,5,Topic 19
2020,31,4,Topic 31
2020,47,2,Topic 47
2020,23,6,Topic 23
2020,61,2,Topic 61
2020,1,24,Topic 1
2020,2,21,Topic 2
2020,60,5,Topic 60
2020,42,2,Topic 42
2020,22,11,Topic 22
2020,33,4,Topic 33
2020,24,4,Topic 24
2020,72,3,Topic 72
2020,68,3,Topic 68
2020,14,14,Topic 14
2020,34,12,Topic 34
2020,41,2,Topic 41
2020,3,10,Topic 3
2020,45,3,Topic 45
2020,69,8,Topic 69
2020,4,16,Topic 4
2020,16,6,Topic 16
2020,21,7,Topic 21
2020,40,7,Topic 40
2020,65,7,Topic 65
2020,63,7,Topic 63
2020,28,3,Topic 28
2020,50,2,Topic 50
2020,12,11,Topic 12
2020,6,7,Topic 6
2020,43,3,Topic 43
2020,70,2,Topic 70
2020,76,2,Topic 76
2020,62,7,Topic 62
2020,25,8,Topic 25
2020,78,2,Topic 78
2020,13,11,Topic 13
2020,10,16,Topic 10
2020,48,2,Topic 48
2020,53,4,Topic 53
2020,44,2,Topic 44
2020,15,10,Topic 15
2020,66,2,Topic 66
2020,54,2,Topic 54
2020,73,4,Topic 73
2020,56,1,Topic 56
2020,64,5,Topic 64
2020,57,9,Topic 57
2020,18,4,Topic 18
2020,52,4,Topic 52
2020,74,4,Topic 74
2020,35,6,Topic 35
2020,9,14,Topic 9
2020,81,2,Topic 81
2020,30,6,Topic 30
2020,7,5,Topic 7
2020,38,3,Topic 38
2020,27,5,Topic 27
2020,71,3,Topic 71
2020,82,4,Topic 82
2020,75,1,Topic 75
2020,59,1,Topic 59
2020,32,5,Topic 32
2020,20,5,Topic 20
2020,17,4,Topic 17
2020,58,2,Topic 58
2020,37,2,Topic 37
2020,26,2,Topic 26
2020,39,2,Topic 39
2020,36,1,Topic 36
2000,26,1,Topic 26
2000,23,3,Topic 23
2000,55,3,Topic 55
2000,45,1,Topic 45
2000,6,2,Topic 6
2000,57,1,Topic 57
2000,7,2,Topic 7
2000,8,1,Topic 8
2000,17,2,Topic 17
2000,50,2,Topic 50
2000,3,1,Topic 3
2000,12,2,Topic 12
2000,76,1,Topic 76
2000,4,1,Topic 4
2000,66,2,Topic 66
2000,41,3,Topic 41
2000,10,1,Topic 10
2000,1,1,Topic 1
2000,11,1,Topic 11
2000,52,1,Topic 52
2001,26,2,Topic 26
2001,7,7,Topic 7
2001,18,2,Topic 18
2001,54,2,Topic 54
2001,56,1,Topic 56
2001,6,1,Topic 6
2001,10,3,Topic 10
2001,50,2,Topic 50
2001,47,1,Topic 47
2001,58,4,Topic 58
2001,28,2,Topic 28
2001,3,4,Topic 3
2001,29,5,Topic 29
2001,41,2,Topic 41
2001,75,1,Topic 75
2001,23,2,Topic 23
2017,55,3,Topic 55
2017,0,39,Topic 0
2017,22,2,Topic 22
2017,24,6,Topic 24
2017,1,11,Topic 1
2017,16,4,Topic 16
2017,72,1,Topic 72
2017,26,2,Topic 26
2017,5,11,Topic 5
2017,71,1,Topic 71
2017,14,4,Topic 14
2017,15,10,Topic 15
2017,45,6,Topic 45
2017,34,2,Topic 34
2017,6,11,Topic 6
2017,49,1,Topic 49
2017,66,4,Topic 66
2017,7,6,Topic 7
2017,43,3,Topic 43
2017,12,9,Topic 12
2017,8,7,Topic 8
2017,17,5,Topic 17
2017,69,6,Topic 69
2017,70,5,Topic 70
2017,25,8,Topic 25
2017,59,3,Topic 59
2017,60,3,Topic 60
2017,33,5,Topic 33
2017,21,3,Topic 21
2017,63,3,Topic 63
2017,56,3,Topic 56
2017,11,2,Topic 11
2017,3,9,Topic 3
2017,48,2,Topic 48
2017,53,4,Topic 53
2017,10,5,Topic 10
2017,32,2,Topic 32
2017,30,2,Topic 30
2017,40,1,Topic 40
2017,4,10,Topic 4
2017,19,2,Topic 19
2017,65,2,Topic 65
2017,62,5,Topic 62
2017,74,1,Topic 74
2017,35,3,Topic 35
2017,27,8,Topic 27
2017,75,1,Topic 75
2017,29,5,Topic 29
2017,42,5,Topic 42
2017,52,1,Topic 52
2017,41,3,Topic 41
2017,39,12,Topic 39
2017,46,5,Topic 46
2017,31,2,Topic 31
2017,47,4,Topic 47
2017,73,4,Topic 73
2017,79,4,Topic 79
2017,23,1,Topic 23
2017,44,4,Topic 44
2017,13,5,Topic 13
2017,81,2,Topic 81
2017,9,4,Topic 9
2017,64,2,Topic 64
2017,20,2,Topic 20
2017,78,2,Topic 78
2017,82,1,Topic 82
2017,76,3,Topic 76
2017,57,2,Topic 57
2017,18,2,Topic 18
2017,2,1,Topic 2
2017,28,1,Topic 28
2017,36,1,Topic 36
2025,51,4,Topic 51
2025,59,2,Topic 59
2025,1,21,Topic 1
2025,5,7,Topic 5
2025,28,2,Topic 28
2025,0,16,Topic 0
2025,21,3,Topic 21
2025,20,1,Topic 20
2025,9,8,Topic 9
2025,19,8,Topic 19
2025,26,4,Topic 26
2025,11,5,Topic 11
2025,50,1,Topic 50
2025,46,2,Topic 46
2025,22,2,Topic 22
2025,2,6,Topic 2
2025,47,3,Topic 47
2025,54,3,Topic 54
2025,34,6,Topic 34
2025,40,4,Topic 40
2025,25,4,Topic 25
2025,65,1,Topic 65
2025,8,5,Topic 8
2025,6,11,Topic 6
2025,60,3,Topic 60
2025,15,5,Topic 15
2025,38,2,Topic 38
2025,4,7,Topic 4
2025,79,3,Topic 79
2025,10,4,Topic 10
2025,45,1,Topic 45
2025,35,1,Topic 35
2025,44,3,Topic 44
2025,27,3,Topic 27
2025,71,2,Topic 71
2025,80,1,Topic 80
2025,43,2,Topic 43
2025,13,3,Topic 13
2025,61,2,Topic 61
2025,32,1,Topic 32
2025,72,1,Topic 72
2025,17,2,Topic 17
2025,33,4,Topic 33
2025,68,1,Topic 68
2025,16,1,Topic 16
2025,62,2,Topic 62
2025,39,1,Topic 39
2025,31,3,Topic 31
2025,58,2,Topic 58
2025,41,2,Topic 41
2025,18,4,Topic 18
2025,14,1,Topic 14
2025,67,2,Topic 67
2025,3,9,Topic 3
2025,36,2,Topic 36
2025,37,1,Topic 37
2025,23,1,Topic 23
2025,49,1,Topic 49
2025,82,1,Topic 82
2025,52,1,Topic 52
2025,12,2,Topic 12
2025,24,2,Topic 24
2025,30,1,Topic 30
2025,64,1,Topic 64
2025,42,2,Topic 42
2025,56,1,Topic 56
2025,7,2,Topic 7
2025,55,1,Topic 55
2025,57,1,Topic 57
2025,70,1,Topic 70
2025,81,1,Topic 81
2011,41,2,Topic 41
2011,10,3,Topic 10
2011,55,2,Topic 55
2011,51,2,Topic 51
2011,58,3,Topic 58
2011,9,3,Topic 9
2011,49,2,Topic 49
2011,32,3,Topic 32
2011,16,5,Topic 16
2011,7,7,Topic 7
2011,43,5,Topic 43
2011,42,5,Topic 42
2011,13,3,Topic 13
2011,63,1,Topic 63
2011,30,1,Topic 30
2011,71,1,Topic 71
2011,25,2,Topic 25
2011,1,4,Topic 1
2011,31,4,Topic 31
2011,80,2,Topic 80
2011,4,5,Topic 4
2011,56,3,Topic 56
2011,38,3,Topic 38
2011,28,4,Topic 28
2011,8,1,Topic 8
2011,36,2,Topic 36
2011,23,2,Topic 23
2011,0,12,Topic 0
2011,18,2,Topic 18
2011,54,1,Topic 54
2011,52,1,Topic 52
2011,24,5,Topic 24
2011,66,1,Topic 66
2011,6,3,Topic 6
2011,69,1,Topic 69
2011,3,3,Topic 3
2011,76,1,Topic 76
2011,17,3,Topic 17
2011,29,2,Topic 29
2011,81,5,Topic 81
2011,45,1,Topic 45
2011,33,1,Topic 33
2011,5,1,Topic 5
2011,73,2,Topic 73
2011,35,1,Topic 35
2011,53,1,Topic 53
2011,15,1,Topic 15
2011,72,2,Topic 72
2011,50,2,Topic 50
2011,19,3,Topic 19
2011,64,1,Topic 64
2011,20,3,Topic 20
2011,75,2,Topic 75
2011,47,3,Topic 47
2011,74,1,Topic 74
2011,26,1,Topic 26
2015,39,4,Topic 39
2015,1,8,Topic 1
2015,34,2,Topic 34
2015,51,2,Topic 51
2015,0,27,Topic 0
2015,24,3,Topic 24
2015,38,5,Topic 38
2015,60,2,Topic 60
2015,14,3,Topic 14
2015,17,5,Topic 17
2015,18,4,Topic 18
2015,8,2,Topic 8
2015,33,2,Topic 33
2015,53,6,Topic 53
2015,42,2,Topic 42
2015,25,3,Topic 25
2015,70,5,Topic 70
2015,21,4,Topic 21
2015,31,3,Topic 31
2015,52,2,Topic 52
2015,27,4,Topic 27
2015,65,1,Topic 65
2015,15,4,Topic 15
2015,7,7,Topic 7
2015,59,4,Topic 59
2015,61,2,Topic 61
2015,48,2,Topic 48
2015,6,3,Topic 6
2015,4,7,Topic 4
2015,32,6,Topic 32
2015,11,3,Topic 11
2015,22,2,Topic 22
2015,45,4,Topic 45
2015,76,1,Topic 76
2015,10,2,Topic 10
2015,5,2,Topic 5
2015,30,4,Topic 30
2015,16,7,Topic 16
2015,79,2,Topic 79
2015,35,3,Topic 35
2015,56,3,Topic 56
2015,47,3,Topic 47
2015,3,5,Topic 3
2015,28,2,Topic 28
2015,12,2,Topic 12
2015,19,5,Topic 19
2015,69,2,Topic 69
2015,64,1,Topic 64
2015,49,1,Topic 49
2015,77,1,Topic 77
2015,80,1,Topic 80
2015,66,2,Topic 66
2015,50,2,Topic 50
2015,26,1,Topic 26
2015,78,1,Topic 78
2015,55,2,Topic 55
2015,2,1,Topic 2
2015,23,2,Topic 23
2015,9,1,Topic 9
2015,41,1,Topic 41
2015,67,1,Topic 67
2015,68,1,Topic 68
2015,29,2,Topic 29
2014,30,3,Topic 30
2014,10,9,Topic 10
2014,32,6,Topic 32
2014,67,1,Topic 67
